date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:36:14	11134/11134	---M-Z	200	added ('OK')	text/html	etag:%22e0875-2b7e-4fdaa5719d3b9%22	http://www.js-css.cn/divcss/admin/WhiteAdmin/user.html	D:/Visual%20Studio/My%20Sites/%e7%ae%80%e6%b4%81%e5%a4%a7%e6%b0%94Bootstrap%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfWhiteAdmin/www.js-css.cn/divcss/admin/WhiteAdmin/user.html	(from http://www.js-css.cn/divcss/admin/WhiteAdmin/index.html)
11:36:14	9340/9340	---M-Z	200	added ('OK')	text/html	etag:%22e08a8-247c-4fdaa571eaa01%22	http://www.js-css.cn/divcss/admin/WhiteAdmin/media.html	D:/Visual%20Studio/My%20Sites/%e7%ae%80%e6%b4%81%e5%a4%a7%e6%b0%94Bootstrap%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfWhiteAdmin/www.js-css.cn/divcss/admin/WhiteAdmin/media.html	(from http://www.js-css.cn/divcss/admin/WhiteAdmin/index.html)
11:36:14	7661/7661	---M-Z	200	added ('OK')	text/html	etag:%22e0877-1ded-4fdaa5719d7a1%22	http://www.js-css.cn/divcss/admin/WhiteAdmin/calendar.html	D:/Visual%20Studio/My%20Sites/%e7%ae%80%e6%b4%81%e5%a4%a7%e6%b0%94Bootstrap%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfWhiteAdmin/www.js-css.cn/divcss/admin/WhiteAdmin/calendar.html	(from http://www.js-css.cn/divcss/admin/WhiteAdmin/index.html)
11:36:15	3898/3898	---M-Z	200	added ('OK')	text/html	etag:%22e087e-f3a-4fdaa5719e741%22	http://www.js-css.cn/divcss/admin/WhiteAdmin/sign-up.html	D:/Visual%20Studio/My%20Sites/%e7%ae%80%e6%b4%81%e5%a4%a7%e6%b0%94Bootstrap%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfWhiteAdmin/www.js-css.cn/divcss/admin/WhiteAdmin/sign-up.html	(from http://www.js-css.cn/divcss/admin/WhiteAdmin/index.html)
11:36:15	3367/3367	---M-Z	200	added ('OK')	text/html	etag:%22e08a9-d27-4fdaa571ed4f9%22	http://www.js-css.cn/divcss/admin/WhiteAdmin/reset-password.html	D:/Visual%20Studio/My%20Sites/%e7%ae%80%e6%b4%81%e5%a4%a7%e6%b0%94Bootstrap%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfWhiteAdmin/www.js-css.cn/divcss/admin/WhiteAdmin/reset-password.html	(from http://www.js-css.cn/divcss/admin/WhiteAdmin/index.html)
11:36:15	2957/2957	---M-Z	200	added ('OK')	text/html	etag:%22e0872-b8d-4fdaa5719cbe9%22	http://www.js-css.cn/divcss/admin/WhiteAdmin/403.html	D:/Visual%20Studio/My%20Sites/%e7%ae%80%e6%b4%81%e5%a4%a7%e6%b0%94Bootstrap%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfWhiteAdmin/www.js-css.cn/divcss/admin/WhiteAdmin/403.html	(from http://www.js-css.cn/divcss/admin/WhiteAdmin/index.html)
11:36:16	2942/2942	---M-Z	200	added ('OK')	text/html	etag:%22e087b-b7e-4fdaa5719df71%22	http://www.js-css.cn/divcss/admin/WhiteAdmin/404.html	D:/Visual%20Studio/My%20Sites/%e7%ae%80%e6%b4%81%e5%a4%a7%e6%b0%94Bootstrap%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfWhiteAdmin/www.js-css.cn/divcss/admin/WhiteAdmin/404.html	(from http://www.js-css.cn/divcss/admin/WhiteAdmin/index.html)
11:36:16	2965/2965	---M-Z	200	added ('OK')	text/html	etag:%22e0873-b95-4fdaa5719cbe9%22	http://www.js-css.cn/divcss/admin/WhiteAdmin/500.html	D:/Visual%20Studio/My%20Sites/%e7%ae%80%e6%b4%81%e5%a4%a7%e6%b0%94Bootstrap%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfWhiteAdmin/www.js-css.cn/divcss/admin/WhiteAdmin/500.html	(from http://www.js-css.cn/divcss/admin/WhiteAdmin/index.html)
11:36:16	2967/2967	---M-Z	200	added ('OK')	text/html	etag:%22e0871-b97-4fdaa5719c801%22	http://www.js-css.cn/divcss/admin/WhiteAdmin/503.html	D:/Visual%20Studio/My%20Sites/%e7%ae%80%e6%b4%81%e5%a4%a7%e6%b0%94Bootstrap%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfWhiteAdmin/www.js-css.cn/divcss/admin/WhiteAdmin/503.html	(from http://www.js-css.cn/divcss/admin/WhiteAdmin/index.html)
11:36:16	9424/9424	---M-Z	200	added ('OK')	text/html	etag:%22e0870-24d0-4fdaa5719c419%22	http://www.js-css.cn/divcss/admin/WhiteAdmin/privacy-policy.html	D:/Visual%20Studio/My%20Sites/%e7%ae%80%e6%b4%81%e5%a4%a7%e6%b0%94Bootstrap%e5%93%8d%e5%ba%94%e5%bc%8f%e5%90%8e%e5%8f%b0%e6%a8%a1%e6%9d%bfWhiteAdmin/www.js-css.cn/divcss/admin/WhiteAdmin/privacy-policy.html	(from http://www.js-css.cn/divcss/admin/WhiteAdmin/index.html)
